A book is like a garden carried in the pocket.          Arab Proverb 
Where there's music there can be love.          French Proverb 
While the cat's away, the mice can play.          Proverb of Unknown Origin 
Who begins too much accomplishes little.          German proverb 
Who knows most speaks least.          Spanish Proverb 
Who lies with dogs shall rise up with fleas.          Latin Proverb 
Wine divulges truth.          Irish Proverb 
Witches and harlots come out at night.          English Proverb 
With foxes we must play the fox.          Proverb of Unknown Origin 
With money you are a dragon; with no money, a worm.          Chinese Proverb 
Withhold not correction from the child: for if thou beatest him with the rod, he shall not die. Thou shalt beat him with the rod, and shalt deliver his soul from hell.          Bible - Proverbs 23:13-14. 
Without justice, courage is weak.          North American Proverb 
Wonder is the beginning of wisdom.          Greek proverb 
Yesterday is but a dream, tomorrow is but a vision. But today well lived makes every yesterday a dream of happiness, and every tomorrow a vision of hope. Look well, therefore, to This Day.          Sanskrit Proverb 
You cannot make a silk purse out of a sow's ear.          Irish Proverb 
You cannot reason with a hungry belly; it has no ears.          Greek Proverb 
You cannot unscramble eggs.          North American Proverb 
You can't hatch chickens from fried eggs.          Dutch Proverb 
You have to kiss a lot of toads before you find a handsome prince.           North American Proverb 
You must live with a person to know a person. If you want to know me come and live with me.          Irish Proverb 
Young men may die, old men must.          English Proverb 
Young wood makes a hot fire.          Greek Proverb 
Your health comes first; you can always hang yourself later.          Yiddish Proverb 
Your neighbor's apples are the sweetest.          Yiddish Proverb 
Youth does not mind where it sets its foot.          Irish Proverb 
Youth sheds many a skin. The steed (horse) does not retain its speed forever.          Irish Proverb 
You've got to do your own growing, no matter how tall your grandfather was.          Irish Proverb 
